ATTR_DATA_ID,OBJ_ID,VER_NBR,PERM_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
OLEMI9598-PRM1ATT,OLEMI9598-PRM1ATT,1,OLEMI9598-PRM1,KR1000,13,OLE
OLEMI9598-PRM2ATT,OLEMI9598-PRM2ATT,1,OLEMI9598-PRM2,KR1000,13,OLE
OLEMI9598-PRM3ATT,OLEMI9598-PRM3ATT,1,OLEMI9598-PRM3,KR1000,13,OLE
OLE601,OLE601,1,OLE395,9,13,OLE_PRQS
OLE602,OLE602,1,OLE395,9,9,Invoice Image
OLE603,OLE603,1,OLE396,9,13,OLE_PRQS
OLE604,OLE604,1,OLE396,9,9,Invoice Image
OLE605,OLE605,1,OLE397,8,13,OLE_PRQS
OLE606,OLE606,1,OLE397,8,15,R
OLE607,OLE607,1,OLE398,14,13,OLE_PRQS
OLE608,OLE608,1,OLE398,14,10,requestInvoiceCancel
OLE609,OLE609,1,OLE399,14,13,OLE_PRQS
OLE610,OLE610,1,OLE399,14,10,InvoiceHoldCancelRemoval
OLE611,OLE611,1,OLE400,14,13,OLE_PRQS
OLE612,OLE612,1,OLE400,14,10,requestInvoiceHold
OLE613,OLE613,1,OLE401,8,13,OLE_PRQS
OLE614,OLE614,1,OLE401,8,15,P
OLE615,OLE615,1,OLE402,8,13,OLE_PRQS
OLE616,OLE616,1,OLE402,8,15,F
OLE617,OLE617,1,OLE403,3,13,OLE_PRQS
OLE618,OLE618,1,OLE393,3,13,OLE_PRQS
OLE619,OLE619,1,OLE394,3,13,OLE_PRQS
