PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
OLE10184,OLE1016,1,16,OLE-LIC,Edit Agreement Type Document,Edit Agreement Type Document,Y
OLE10185,OLE1017,1,4,OLE-LIC,Blanket Approve,Blanket Approve for License Request Document,Y
OLE10187,1101,1,1,OLE-PTRN,Can Override Loan,Can Override the Loan Document,Y
OLE10188,1102,1,1,OLE-PTRN,Mapping Circulation Desk,This is for mapping the circulation Desk with the operator,Y
OLE10190,OLE1018,1,16,OLE-LIC,Edit License Request Document,Editing the License Request document,Y
OLE10191,OLE1019,1,15,OLE-LIC,Save License Request Document,Save the License Request document,Y
OLE10192,2100,1,1,OLE-DLVR,Can Remove Note,Can Remove Check-in Note,Y
KR1000,D0C2892F47EB9142E0406E0AC31D23D6,1,8,KUALI,Take Requested Complete Action,Authorizes users to take the Complete action on documents routed to them.,Y
KRLLMD1,ED104,1,10,OLE-SELECT,Initiate Location Level Maintenance Document,Initiate Location Level Maintenance Document,Y
KRLMD1,ED102,1,42,OLE-SELECT,Edit Location Maintenance Document,Edit Location Maintenance Document,Y
KRLMD2,ED103,1,42,OLE-SELECT,Edit Location Maintenance Document for Shelving Location Administrator,Edit Location Maintenance Document for Shelving Location Administrator,Y
KRSAP10003,CDD8032915D6BF1FE040F90A05B94313,1,58,KR-SAP,View Kitchen Sink Group,Allows users to view the group in kitchen sink page 9.,Y
KRSAP10004,CDD8032915DABF1FE040F90A05B94313,1,58,KR-SAP,View Kitchen Sink Page,Allows users to view page 9 in the kitchen sink,Y
KRSAP10005,CDD8032915DEBF1FE040F90A05B94313,1,59,KR-SAP,Edit Kitchen Sink Group,Allows users to edit the group in page 9 of the kitchen sink,Y
KRSAP10006,CDD8032915E2BF1FE040F90A05B94313,1,56,KR-SAP,View Kitchen Sink Field,Allows users to view the field in page 9 of the kitchen sink,Y
KRSAP10007,CDD8032915E6BF1FE040F90A05B94313,1,57,KR-SAP,Edit Kitchen Sink Field,Allows users to edit the field in page 9 of the kitchen sink,Y
KRSAP10008,CDD8032915EABF1FE040F90A05B94313,1,56,KR-SAP,View Kitchen Sink Field Group,Allows users to view the field group in page 9 of the kitchen sink,Y
KRSAP10009,CDD8032915EEBF1FE040F90A05B94313,1,57,KR-SAP,Edit Kitchen Sink Field Group,Allows users to edit the field group in page 9 of the kitchen sink,Y
KRSAP10010,CDD8032915F2BF1FE040F90A05B94313,1,62,KR-SAP,Perform Kitchen Sink Action,Allows users to perform the save action in page 9 of the kitchen sink,Y
KRSAP10011,CDD8032915F6BF1FE040F90A05B94313,1,60,KR-SAP,View Kitchen Sink Widget,Allows users to view the quickfinder widget in page 9 of the kitchen sink,Y
KRSAP10012,CDD8032915FABF1FE040F90A05B94313,1,63,KR-SAP,View Kitchen Sink Line,Allows users to view the collection line in page 9 of the kitchen sink,Y
KRSAP10013,CDD8032915FEBF1FE040F90A05B94313,1,64,KR-SAP,Edit Kitchen Sink Line,Allows users to edit the collection line in page 9 of the kitchen sink,Y
KRSAP10014,CDD803291602BF1FE040F90A05B94313,1,65,KR-SAP,View Kitchen Sink Line Field,Allows users to view the collection line field in page 9 of the kitchen sink,Y
KRSAP10015,CDD803291607BF1FE040F90A05B94313,1,66,KR-SAP,Edit Kitchen Sink Line Field,Allows users to edit the collection line field in page 9 of the kitchen sink,Y
KRSAP10016,CDD80329160CBF1FE040F90A05B94313,1,67,KR-SAP,Perform Kitchen Sink Line Action,Allows users to perform the delete line action in page 9 of the kitchen sink,Y
OLEIITMD,ED1012,1,42,OLE-SELECT,Edit Item Type Maintenance Document,Edit Item Type Maintenance Document,Y
OLEITAS,ED1013,1,10,OLE-SELECT,Initiate Item Availability Maintenance Document,Initiate Item Availability Maintenance Document,Y
OLERSMD,ED1014,1,42,OLE-SELECT,Edit Receipt Status Maintenance Document,Edit Receipt Status Maintenance Document,Y
OLESSMD,ED1011,1,42,OLE-SELECT,Edit Call Number Type Maintenance Document,Edit Call Number Type Maintenance Document,Y
OLESTSRC,ED1015,1,42,OLE-SELECT,Edit Statistical Searching Codes Maintenance Document,Edit Statistical Searching Codes Maintenance Document,Y
OLETYPO,ED1016,1,42,OLE-SELECT,Edit Type Of Ownership Maintenance Document,Edit Type Of Ownership Maintenance Document,Y
